date,Solar Power（kW）,energy_consumption,EPS Load Power（kW）,Battery Power（kW）,Grid Power（kW）,Weather,Charge Power（kW）,Export Power（kW）,Discharge Power（kW）,Import Power（kW）,SOC（%）
2024/07/15 11:00:00,0.0,14.0,,0.0,14.0,,,,,14.0,0.0
2024/07/15 11:05:00,0.0,13.88,,0.0,13.88,,,,,13.88,0.0
2024/07/15 11:10:00,0.0,22.49,,0.0,22.49,,,,,22.49,0.0
2024/07/15 11:15:00,0.0,20.24,,0.0,20.24,,,,,20.24,0.0
2024/07/15 11:20:00,0.0,15.4,,0.0,15.4,,,,,15.4,0.0
2024/07/15 11:25:00,0.0,20.1,,0.0,20.1,,,,,20.1,0.0
2024/07/15 11:30:00,0.0,20.96,,0.0,20.96,,,,,20.96,0.0
2024/07/15 11:35:00,0.0,22.99,,0.0,22.99,,,,,22.99,0.0
2024/07/15 11:45:00,0.0,17.61,,0.0,17.61,,,,,17.61,0.0
2024/07/15 11:50:00,0.0,18.76,,0.0,18.76,,,,,18.76,0.0
2024/07/15 11:55:00,0.0,27.15,,0.0,27.15,,,,,27.15,0.0
2024/07/15 12:00:00,0.0,22.77,,0.0,22.77,,,,,22.77,0.0
2024/07/15 12:05:00,0.0,21.45,,0.0,21.45,,,,,21.45,0.0
2024/07/15 12:10:00,0.0,22.32,,0.0,22.32,,,,,22.32,0.0
2024/07/15 12:15:00,0.0,27.56,,0.0,27.56,,,,,27.56,0.0
2024/07/15 12:20:00,0.0,30.57,,0.0,30.57,,,,,30.57,0.0
2024/07/15 12:30:00,0.0,27.41,,0.0,27.41,,,,,27.41,0.0
2024/07/15 12:35:00,0.0,22.43,,0.0,22.43,,,,,22.43,0.0
2024/07/15 12:40:00,0.0,26.43,,0.0,26.43,,,,,26.43,0.0
2024/07/15 12:43:39,,,,,,Cloudy,,,,,
2024/07/15 12:45:00,0.0,18.82,,0.0,18.82,,,,,18.82,0.0
2024/07/15 12:50:00,0.0,17.61,,0.0,17.61,,,,,17.61,0.0
